Name,Field(s),Date,Notes,Cleaned_Notes
Elizabeth Garrett Anderson,,1836-1917,British physician,British physician
Hedda Andersson,,1861-1950,Swedish physician,Swedish physician
Lovisa Ãrberg,,1801-1881,first woman doctor and surgeon in Sweden,first woman doctor and surgeon in Sweden
Amalia Assur,,1803-1889,Swedish dentist,Swedish dentist
Sara Josephine Baker,,1873-1945,American doctor,American doctor
Chandramukhi Basu,,1860-1944,Indian physician,Indian physician
Elizabeth Blackwell,,1821-1910,American physician,American physician
Emily Blackwell,,1826-1910,American physician,American physician
Marie Boivin,,1773-1841,French writer on obstetrics,French writer on obstetrics
Elizabeth D. A. Cohen,,1820-1921,"American physician, first female physician in the state of Louisiana","American physician, first female physician in the state of Louisiana"
Rebecca Cole,,1846-1922,"merican physician, by 1867 she was the second African-American woman to become a doctor in the United States","merican physician, by 1867 she was the second African-American woman to become a doctor in the United States"
Rebecca Lee Crumpler,,1831-1895,"merican physician, by 1864 she was the first African-American woman to become a doctor in the United States","merican physician, by 1864 she was the first African-American woman to become a doctor in the United States"
Marie Durocher,,1809-1893,"Brazilian obstetrician, midwife and physician","Brazilian obstetrician, midwife and physician"
Enriqueta Favez,,1791-1856,Swiss physician and surgeon,Swiss physician and surgeon
Rosalie Fougelberg,,1841-1911,Swedish dentist,Swedish dentist
Rupa Bai Furdoonji,,,Indian physician who was the world's first female anesthetist,Indian physician who was the world's first female anesthetist
Kadambini Ganguly,,1861-1923,Indian physician,Indian physician
Johanna HedÃ©n,,1837-1912,"Swedish midwife, feldsher and barber","Swedish midwife, feldsher and barber"
Aletta Jacobs,,1854-1929,Dutch physician,Dutch physician
Maria Jansson,,1788-1842,"known as Kisamor, Swedish physician","known as Kisamor, Swedish physician"
Sophia Jex-Blake,,1840-1912,British physician,British physician
Anandi Gopal Joshi,,1865-1887,Indian physician,Indian physician
Mary Poonen Lukose,,1886-1976,Indian gynecologist,Indian gynecologist
Emmy Rappe,,1835-1896,Swedish nurse,Swedish nurse
Martha Ripley,,1843-1912,American physician and suffragist,American physician and suffragist
Varvara Kashevarova Rudneva,,1844-1899,Russian physician,Russian physician
Florence R. Sabin,,1871-1953,American medical scientist,American medical scientist
Ellen Sandelin,,1862-1907,Swedish physician and teacher of physiology,Swedish physician and teacher of physiology
Regina von Siebold,,1771-1849,German physician and obstetrician,German physician and obstetrician
